施設名,エリア,地名,住所
BIKEN　瀬戸事業所,香川県,観音寺市,瀬戸町4-1-70
HIKARI CLINIC,岡山県,岡山市,下石井2丁目1-18
HIKARI CLINIC,香川県,高松市,十川東町55-1
HIKARICLINIC,岡山県,岡山市,下石井2丁目1-18
JA広島総合病院,広島県,廿日市市,地御前1-3-3
ＪＡ徳島厚生連　吉野川医療センター,徳島県,吉野川市,鴨島町知恵島字西知恵島120
JA高知病院,高知県,南国市,見字中野526-1
ＪＡ高知病院,高知県,南国市,見字中野526-1
ＪＲ広島病院,広島県,広島市,二葉の里3-1-38
ＫＫＲ高松病院,香川県,高松市,天神前4-18
ＮＴＴ西日本高松診療所,香川県,高松市,観光町649-8
TKS-01,徳島県,海部郡,熟田字向ヶ谷12
あおい小児科,愛媛県,今治市,東村5-9-37
あかね会　土谷総合病院,広島県,広島市,中島町６－１
あきやまクリニック,香川県,高松市,香川町大野459－5
あまのクリニック,広島県,廿日市市,串戸5-1-37
あやめ内科,山口県,下関市,本町1-1-20
いしい記念病院,山口県,岩国市,多田3丁目102-1
いしづち眼科,愛媛県,新居浜市,庄内町1-8-30
いずみの病院,高知県,高知市,薊野北町2-10-53
いちえ会伊月病院,徳島県,徳島市,徳島町2-54
いとうわんぱくクリニック,香川県,高松市,楠上町2-3-15
いとう小児科,愛媛県,松山市,土居町805-1
いのうえ内科脳神経クリニック,広島県,広島市,舟入川口町5-7
いのうえ小児科医院,島根県,出雲市,斐川町上直江982-2
いのくまこどもクリニック,山口県,宇部市,大字西岐波大沢4535-5
いの町立国民健康保険仁淀病院,高知県,吾川郡,1369
いまいこどもファミリークリニック,香川県,高松市,新田町甲658-7
いわたにこどもクリニック,山口県,萩市,椿東2972-1
いわもと耳鼻咽喉科,島根県,松江市,春日町188-1
ウィメンズクリニックかみむら,岡山県,岡山市,北区本町４－１８　コア本町３F
うえおか動物病院,広島県,広島市,吉島東2-18-11
うぐもり耳鼻咽喉科,愛媛県,松山市,余戸西３丁目１０－２５
うめだ小児科医院,山口県,下関市,長府東侍町5-45
オーエヌ会　ふたばクリニック,高知県,高知市,役知町15-7
おおさき小児クリニック,広島県,廿日市市,阿品3-1-6
おおたにこどもファミリークリニック,鳥取県,鳥取市,国府町新通り3-301-1
おおつ内科クリニック,島根県,出雲市,大津町1708-9
おかもと整形外科クリニック,広島県,広島市,温品7-5-26
おさふねクリニック,岡山県,瀬戸内市,長船町土師332-1
おだうじ会　小田病院,岡山県,井原市,井原町５８２
おひさまこどもクリニック,広島県,福山市,御幸町森脇426-1
オリーブ高松メディカルクリニック,香川県,高松市,観光町649-8
かがわ総合リハビリテーションセンター,香川県,高松市,田村町1114
かくれんぼ小児科・アレルギー科,広島県,広島市,東雲本町２丁目６－３２
かわかみ整形外科・小児科クリニック,山口県,宇部市,野原1-5-5
かわはらこどもクリニック,広島県,東広島市,西条中央7-3-45
きぬた小児科,広島県,福山市,神辺町大字川南960-3
きらきらこどもクリニック,広島県,安芸郡,窪町1-23
くぼ小児科クリニック,徳島県,板野郡,北島町鯛浜字向95-1
くまがい眼科,山口県,宇部市,東岐波花園2129-1
くらたこどもクリニック,島根県,松江市,東朝日町232-10
クリニック　ソフィア,岡山県,倉敷市,昭和2-2-44　キングズガーデンビル2F
クリニックひろと,高知県,高知市,長浜4823
くるみクリニック,香川県,仲多度郡,多度津町北鴨2-5-3
高知大学医学部附属病院,高知県,南国市,岡豊町小蓮185－1
コープリハビリテーション病院,岡山県,倉敷市,水島北春日町4-3
こうせいこどもクリニック,高知県,高知市,葛島2-6-30
こかわ医院,徳島県,徳島市,寺島本町西1-15
こくぶ脳外科・内科クリニック,香川県,高松市,国分寺町福家甲3812－1
こころホスピタル草津,広島県,広島市,草津梅が台１０－１
ごとうクリニック,岡山県,岡山市,大供 1丁目 2-15ダイヤモンドフォーラム大供201
